A Little Chat|Conversinha
Anticognition|Anticognição
Antler Skulkin|Caveirano dos Chifres
Anurid Barkripper|Anurídio Rasga-Troncos
Anurid Brushhopper|Anurídio Saltamato
Anurid Murkdiver|Anurídio Mergulhador do Lamaçal
Anurid Scavenger|Anurídio Carniceiro
Anurid Swarmsnapper|Anurídio Abocanha-Enxames
Anvil of Bogardan|Bigorna de Bogardan
Anvilwrought Raptor|Raptor Forjado na Bigorna
Ao, the Dawn Sky|Ao, o Céu da Aurora
Apathy|Apatia
Apes of Rath|Símios de Rath
Apex Altisaur|Altissauro do Ápice
Apex Devastator|Devastador do Ápice
Apex Hawks|Falcões do Ápice
Apex of Power|Ápice do Poder
Aphemia, the Cacophony|Afêmia, a Cacofonia
Aphetto Alchemist|Alquimista de Aphetto
Aphetto Dredging|Dragagem de Aphetto
Aphetto Exterminator|Exterminador de Aphetto
Aphetto Grifter|Vigarista de Aphetto
Aphetto Runecaster|Conjurador de Runas de Aphetto
Aphetto Vulture|Abutre de Aphetto
Aphotic Wisps|Fogos-Fátuos Afóticos
Apocalypse Chime|Carrilhão do Apocalipse
Apocalypse Demon|Demônio do Apocalipse
Apocalypse Hydra|Hidra do Apocalipse
Apocalypse|Apocalipse
Apostle of Invasion|Apóstola da Invasão
Apostle of Purifying Light|Apóstolo da Luz Purificadora
Apostle's Blessing|Bênção do Apóstolo
Apothecary Geist|Geist Apotecário
Apothecary Initiate|Iniciado Boticário
Appeal|Apelar
Appetite for Brains|Fome de Cérebro
Appetite for the Unnatural|Apetite pelo Antinatural
Applied Biomancy|Biomancia Aplicada
Apprentice Necromancer|Aprendiz de Necromante
Apprentice Sharpshooter|Atiradora de Elite Aprendiz
Apprentice Sorcerer|
Apprentice Wizard|Aprendiz de Mago
Approach of the Second Sun|Aproximação do Segundo Sol
Aquamoeba|Aquameba
Aquamorph Entity|Entidade Aquamórfica
Aquastrand Spider|Aranha Fios D'Água
Aquatic Incursion|Incursão Aquática
Aqueous Form|Forma Aquosa
Aquitect's Will|Determinação do Aquateto
Aquus Steed|Corcel Aquus
Araba Mothrider|Ginete de Mariposas de Araba
Arachnoform|Aracnomorfia
Arachnoid Adaptation|Adaptação Aracnoide
Arachnoid|Aracnóide
Arachnus Spinner|Fiandeira Aracnus
Arachnus Web|Teia de Aracnus
Aradara Express|Expresso de Aradara
Aragorn and Arwen, Wed|Aragorn e Arwen, Casados
Aragorn, Company Leader|Aragorn, Líder da Sociedade
Aragorn, King of Gondor|Aragorn, Rei de Gondor
Aragorn, the Uniter|Aragorn, o Unificador
Arahbo, Roar of the World|Arahbo, Rugido do Mundo
Arashi, the Sky Asunder|Arashi, o Céu em Pedaços
Arashin Cleric|Clérigo Arashin
Arashin Foremost|Principal de Arashin
Arashin Sovereign|Soberano de Arashin
Arashin War Beast|Fera de Guerra Arashin
Arasta of the Endless Web|Arasta da Teia Infinita
Araumi of the Dead Tide|Araumi da Maré Morta
Arbalest Elite|Elite de Arbaleste
Arbalest Engineers|Engenheiras de Balestra
Arbiter of Knollridge|Árbitro da Cordilheira Redonda
Arbiter of the Ideal|Árbitra do Ideal
Arbor Armament|Armamento Arbóreo
Arbor Colossus|Colosso do Arvoredo
Arbor Elf|Elfo do Arvoredo
Arborback Stomper|Pisoteador Dorsoverde
Arborea Pegasus|Pégaso de Arbórea
Arboreal Grazer|Herbívoro Arbóreo
Arboretum Elemental|Elemental do Arboreto
Arboria|Arboria
Arc Blade|Arcolâmina
Arc Lightning|Raio Voltaico
Arc Mage|Mago Voltaico
Arc Runner|Mensageiro do Arco
Arc Spitter|Cospe-raio
Arc Trail|Trilha de Arco Elétrico
Arc-Slogger|Moureja-Arco
Arcades Sabboth|Arcades Sabboth
Arcades, the Strategist|Arcades, o Estrategista
Arcane Adaptation|Adaptação Arcana
Arcane Artisan|Artesã Arcana
Arcane Bombardment|Bombardeio Arcano
Arcane Denial|Contradição Arcana
Arcane Encyclopedia|Enciclopédia Arcana
Arcane Endeavor|Empreitada Arcana
Arcane Flight|Voo Arcano
Arcane Infusion|Infusão Arcana
Arcane Investigator|Investigador Arcano
Arcane Laboratory|Laboratório Arcano
Arcane Melee|Embate Arcano
Arcane Proxy|Substituto Arcano
Arcane Sanctum|Santuário Arcano
Arcane Signet|Sinete Arcano
Arcane Spyglass|Luneta Arcana
Arcane Subtraction|Subtração Arcana
Arcane Teachings|Ensinamentos Arcanos
Arcanis the Omnipotent|Arcanis, o Onipotente
Arcanist's Owl|Coruja do Arcanista
Arcanum Wings|Asas Arcanas
Arcbond|Propagação Elétrica
Arcbound Bruiser|Espancador Arconexo
Arcbound Crusher|Esmagador Arconexo
Arcbound Fiend|Demônio Arconexo
Arcbound Hybrid|Híbrido Arconexo
Arcbound Javelineer|Zagaieiro Arconexo
Arcbound Lancer|Lanceiro Arconexo
Arcbound Mouser|Rateiro Arconexo
Arcbound Overseer|Supervisor Arconexo
Arcbound Prototype|Protótipo Arconexo
Arcbound Ravager|Devastador Arconexo
Arcbound Reclaimer|Reivindicador Arconexo
Arcbound Shikari|Sipaio Arconexo
Arcbound Slasher|Golpeador Arconexo
Arcbound Slith|Slith Arconexo
Arcbound Stinger|Aguilhoador Arconexo
Arcbound Tracker|Rastreador Arconexo
Arcbound Wanderer|Viajante Arconexo
Arcbound Whelp|Filhote Arconexo
Arcbound Worker|Operário Arconexo
Arch of Orazca|Arco de Orazca
Archaeological Dig|Escavação Arqueológica
Archaeomancer's Map|Mapa do Arqueomante
Archaeomancer|Arqueomante
Archangel Avacyn|Arcanjo Avacyn
Archangel Elspeth|Arcanjo Elspeth
Archangel of Thune|Arcanjo de Thune
Archangel of Tithes|Arcanjo dos Dízimos
Archangel of Wrath|Arcanjo da Ira
Archangel's Light|Luz do Arcanjo
Archangel|Arcanjo
Archdemon of Greed|Arquidemônio da Ganância
Archdemon of Unx|Arquidemônio de Unx
Archelos, Lagoon Mystic|Archelos, Místico da Laguna
Archers of Qarsi|Arqueiros de Qarsi
Archers' Parapet|Parapeito dos Arqueiros
Archery Training|Treinamento de Arqueiro
Archetype of Aggression|Arquétipo da Agressão
Archetype of Courage|Arquétipo da Coragem
Archetype of Endurance|Arquétipo da Resistência
Archetype of Finality|Arquétipo da Finalidade
Archetype of Imagination|Arquétipo da Imaginação
Archfiend of Depravity|Arquidemônio da Depravação
Archfiend of Ifnir|Arquidemônio de Ifnir
Archfiend of Sorrows|Arquidemônio dos Pesares
Archfiend of Spite|Arquidemônio do Rancor
Archfiend of the Dross|Arquidemônio de Dross
Archfiend's Vessel|Receptáculo do Arquidemônio
Archghoul of Thraben|Arquicarniçal de Thraben
Archipelagore|Arquipelagórico
Architect of the Untamed|Arquiteta dos Indomados
Architects of Will|Arquitetos do Arbítrio
Archive Trap|Armadilha de Arquivo
Archivist of Gondor|Arquivista de Gondor
Archivist of Oghma|Arquivista de Oghma
Archivist|Arquivista
Archmage Ascension|Ascensão do Arquimago
Archmage Emeritus|Arquimago Emérito
Archmage's Charm|Amuleto do Arquimago
Archon of Absolution|Arconte da Absolvição
Archon of Coronation|Arconte da Coroação
Archon of Cruelty|Arconte da Crueldade
Archon of Emeria|Arconte de Emeria
Archon of Falling Stars|Arconte das Estrelas Cadentes
Archon of Justice|Arconte da Justiça
Archon of Redemption|Arconte da Redenção
Archon of Sun's Grace|Arconte da Graça do Sol
Archon of Valor's Reach|Arconte do Coliseu da Bravura
Archon of the Triumvirate|Arconte do Triunvirato
Archpriest of Iona|Arquissacerdote de Iona
Archpriest of Shadows|Arquissacerdotisa das Sombras
Archway Angel|Anjo do Arco
Archway Commons|Esplanada do Arco
Archweaver|Tecedeira de Arcos
Archwing Dragon|Dragão das Asas Arqueadas
Arclight Phoenix|Fênix Arco-lume
Arco-Flagellant|Arco-flagelante
Arctic Aven|Aviano Ártico
Arctic Flats|Planície Ártica
Arctic Foxes|Raposas do Ártico
Arctic Merfolk|Tritão do Ártico
Arctic Nishoba|Nishoba Ártico
Arctic Treeline|Arvoredo Ártico
Arctic Wolves|Lobos do Ártico
Arcum Dagsson|Arcum Dagsson
Arcum's Astrolabe|Astrolábio de Arcum
Arcum's Sleigh|Trenó de Arcum
Arcum's Weathervane|Catavento de Arcum
Arcum's Whistle|Apito de Arcum
Arcus Acolyte|Acólita do Arcus
Ardenn, Intrepid Archaeologist|Ardenn, Arqueólogo Intrépido
Ardent Dustspeaker|Leitor de Pó Fervoroso
Ardent Electromancer|Eletromante Ardente
Ardent Elementalist|Elementalista Ardente
Ardent Militia|Milícia Fervorosa
Ardent Plea|Súplica Ardente
Ardent Recruit|Recruta Fervoroso
Ardent Soldier|Soldado Fervoroso
Ardenvale Paladin|Paladina do Vale Arden
Ardenvale Tactician|Tática do Vale Arden
Arena Athlete|Atleta da Arena
Arena Trickster|Trapaceiro da Arena
Arena|Arena
Arenson's Aura|Aura de Arenson
Argent Mutation|Mutação Argentada
Argent Sphinx|Esfinge Argentada
Argentum Armor|Armadura de Argento
Argentum Masticore|Mastícora de Argento
Argivian Avenger|Vingador Argiviano
Argivian Cavalier|Amazona Argiviana
Argivian Find|Achado Argiviano
Argivian Phalanx|Falange Argiviana
Argivian Restoration|Restauração Argiviana
Argothian Elder|Ancião Argothiano
Argothian Enchantress|Encantadora Argothiana
Argothian Opportunist|Oportunista Argothiana
Argothian Sprite|Sílfide Argothiana
Argothian Swine|Suínos Argothianos
Argothian Wurm|Vorme Argothiano
Arguel's Blood Fast|Jejum de Sangue de Arguel
Aria of Flame|Ária de Chamas
Arid Mesa|Meseta Árida
Arisen Gorgon|Górgona Ressurgida
Arixmethes, Slumbering Isle|Arixmetes, Ilha Hibernante
Ark of Blight|Arca do Malogro
Arlinn Kord|Arlinn Kord
Arlinn's Wolf|Lobo de Arlinn
Arlinn, Embraced by the Moon|Arlinn, Abraçada pela Lua
Arlinn, Voice of the Pack|Arlinn, Voz da Alcateia
Arm the Cathars|Armar os Cátaros
Arm with Aether|Armar com Éter
Armada Wurm|Vorme da Armada
Armadillo Cloak|Manto de Tatu
Armageddon Clock|Relógio do Armagedon
Armageddon|Armagedom
Armament Corps|Tropas de Armamento
Armament Master|Mestre do Armamento
Armament of Nyx|Armamento de Nyx
Armed Response|Resposta Armada
Armed and Armored|Armados e Blindados
Armguard Familiar|Familiar Protetor de Pulso
Armillary Sphere|Esfera Armilar
Armistice|Armistício
Armix, Filigree Thrasher|Armix, Zurzidor Filigranado
Armor Sliver|Fractius de Armadura
Armor of Faith|Armadura de Fé
Armor of Shadows|Armadura de Sombras
Armor of Thorns|Armadura de Espinhos
Armorcraft Judge|Jurada de Armoraria
Armored Ascension|Ascensão Armada
Armored Cancrix|Cancrix de Armadura
Armored Galleon|
Armored Griffin|
Armored Guardian|Guardião de Armadura
Armored Pegasus|Pégaso de Armadura
Armored Scrapgorger|Papa-sucata Blindado
Armored Skaab|Skaab de Armadura
Armored Skyhunter|Caçadora Celeste Armadurada
Armored Transport|Transporte Blindado
Armored Warhorse|Cavalo de Guerra Blindado
Armored Wolf-Rider|
Armorer Guildmage|Mago da Guilda Armeira
Armory Automaton|Autômato do Arsenal
Armory Guard|Guarda do Arsenal
Armory Veteran|Veterana do Arsenal
Armory of Iroas|Arsenal de Iroas
Arms Dealer|Traficante de Armas
Arms Race|Corrida Armamentista
Arms of Hadar|Braços de Hadar
Army Ants|Formigas de Correição
Army of the Damned|Exército dos Malditos
Arni Brokenbrow|Arni Testa Partida
Arni Metalbrow|Arni Testa Metálica
Arni Slays the Troll|Arni Mata o Trol
Arnjlot's Ascent|Ascensão de Arnjlot
Aron, Benalia's Ruin|Aron, Ruína de Benália
Arrester's Admonition|Admonição do Encarcerador
Arrester's Zeal|Zelo do Encarcerador
Arrest|Aprisionar
Arrogant Bloodlord|Senhor Vampiro Arrogante
Arrogant Outlaw|Fora da Lei Arrogante
Arrogant Poet|Poeta Arrogante
Arrogant Wurm|Vorme Arrogante
Arrow Storm|Tempestade de Flechas
Arrow Volley Trap|Armadilha de Salva de Flechas
Arrows of Justice|Flechas da Justiça
Arsenal Thresher|Debulhador de Arsenal
Arterial Alchemy|Alquimia Arterial
Arterial Flow|Fluxo Arterial
Artful Dodge|Fuga Engenhosa
Artful Maneuver|Manobra Engenhosa
Artful Takedown|Derrubada Engenhosa
Artifact Mutation|Mutação de Artefato
Artificer Class|Classe: Artífice
Artificer's Assistant|Assistente de Artesão
Artificer's Dragon|Dragão do Artífice
Artificer's Epiphany|Epifania do Artífice
Artificer's Hex|Bruxaria do Artesão
Artificer's Intuition|Intuição do Artesão
Artificial Evolution|Evolução Artificial
Artillerize|Artilhar
Artillery Blast|Rajada de Artilharia
Artisan of Forms|Artesão das Formas
Artisan of Kozilek|Artesão de Kozilek
Artisan's Sorrow|Pesar do Artesão
Artistic Refusal|Recusa Artística
Arvad the Cursed|Arvad, o Amaldiçoado
Arwen Undómiel|Arwen Undómiel
Arwen's Gift|Dádiva de Arwen
Arwen, Mortal Queen|Arwen, Rainha Mortal
Arwen, Weaver of Hope|Arwen, Tecelã da Esperança
Aryel, Knight of Windgrace|Aryel, Cavaleira de Windgrace
As Foretold|Como Predito
Asari Captain|Capitão Asari
Ascend from Avernus|Ascensão do Avernus
Ascendant Acolyte|Acólito Ascendente
Ascendant Evincar|Evincar Ascendente
Ascendant Packleader|Líder de Alcateia em Ascensão
Ascendant Spirit|Espírito Ascendente
Ascended Lawmage|
Ascending Aven|Aviano Ascendente
Ascent of the Worthy|Ascensão dos Dignos
Asceticism|Asceticismo
Ash Barrens|Desolação Fumegante
Ash Zealot|Zelote das Cinzas
Asha's Favor|Proteção de Asha
Ashaya, Soul of the Wild|Ashaya, Alma da Natureza
Ashcloud Phoenix|Fênix Nuvem-de-cinzas
Ashcoat Bear|Urso Capa-Cinzenta
Ashen Firebeast|Besta Ígnea Cinérea
Ashen Ghoul|Carniçal Cinéreo
Ashen Monstrosity|Monstruosidade Cinérea
Ashen Powder|Pó Cinerário
Ashen Rider|Ginete Cinzento
Ashen-Skin Zubera|Zubera Pele de Cinzas
Ashenmoor Cohort|Coorte de Pântano das Cinzas
Ashenmoor Gouger|Goivador do Pântano das Cinzas
Ashenmoor Liege|Soberano de Pântano das Cinzas
Ashes of the Abhorrent|Cinzas do Abominável
Ashes of the Fallen|Cinzas dos Caídos
Ashes to Ashes|Cinzas às Cinzas
Ashiok's Adept|Adepto de Ashiok
Ashiok's Erasure|Apagamento de Ashiok
Ashiok's Forerunner|Pioneira de Ashiok
Ashiok's Skulker|Espreitador de Ashiok
Ashiok, Dream Render|Ashiok, Dissolvedor de Sonhos
Ashiok, Nightmare Muse|Ashiok, Inspiração do Pesadelo
Ashiok, Nightmare Weaver|Ashiok, Tecedor de Pesadelos
Ashiok, Sculptor of Fears|Ashiok, Escultor de Medos
Ashling the Pilgrim|Cineréia, a Peregrina
Ashling's Prerogative|Preferência de Cineréia
Ashling, the Extinguisher|Cineréia, a Extintora
Ashmouth Blade|Lâmina de Boca Cinzenta
Ashmouth Hound|Sabujo de Boca Cinzenta
Ashnod the Uncaring|Ashnod, a Indiferente
Ashnod's Altar|Altar de Ashnod
Ashnod's Battle Gear|Armadura de Ashnod
Ashnod's Cylix|Cálice de Ashnod
Ashnod's Harvester|Colheitadeira de Ashnod
Ashnod's Intervention|Intervenção de Ashnod
Ashnod's Transmogrant|Transmutador de Ashnod
Ashnod, Flesh Mechanist|Ashnod, Mecanista da Carne
Asmira, Holy Avenger|Asmira, Vingadora Santa
Asmodeus the Archfiend|Asmodeus, o Arquidemônio
Asmoranomardicadaistinaculdacar|Asmoranomardicadaistinaculdacar
Aspect of Gorgon|Aspecto de Górgona
Aspect of Hydra|Aspecto de Hidra
Aspect of Lamprey|Aspecto da Lampreia
Aspect of Manticore|Aspecto da Mantícora
Aspect of Mongoose|Face do Mangusto
Aspect of Wolf|Natureza do Lobo
Asphodel Wanderer|Vagante de Asfódelos
Asphyxiate|Morte por Asfixia
Aspirant's Ascent|Ascensão de Aspirante
Aspiring Aeronaut|Aeronauta Aspirante
Aspiring Champion|Aspirante a Campeão
Assassin's Ink|Tinta do Assassino
Assassin's Strike|Golpe do Assassino
Assassin's Trophy|Troféu do Assassino
Assassinate|Assassinar
Assault Formation|Formação de Ataque
Assault Griffin|Grifo de Assalto
Assault Intercessor|Intercessor de Assalto
Assault Strobe|Estroboscópio de Ataque
Assault Suit|Traje de Assalto
Assault Zeppelid|Zepelóide de Ataque
Assault on Osgiliath|Ataque a Osgiliath
Assault|Assault
Assemble the Entmoot|Reunir o Entebate
Assemble the Legion|Reunir a Legião
Assembled Alphas|Alfas Reunidos
Assemble|Formar
Assembly Hall|Salão de Assembléia
Assembly-Worker|Operário de Linha de Montagem
Assert Authority|Afirmar Autoridade
Assimilate Essence|Assimilar Essência
Assure|Fortalecer
Astarion's Thirst|Sede de Astarion
Astarion, the Decadent|Astarion, o Hedonista
Astor, Bearer of Blades|Astor, Portador das Lâminas
Astral Confrontation|Confronto Astral
Astral Cornucopia|Cornucópia Astral
Astral Dragon|Dragão Astral
Astral Drift|Deriva Astral
Astral Slide|Deslizamento Astral
Astral Steel|Aço Astral
Astral Wingspan|Envergadura Astral
Astrolabe|Astrolábio
Asylum Visitor|Visitante do Hospício
Atalan Jackal|Chacal de Atalan
Atalya, Samite Master|Atalya, Mestre Samita
Atarka Beastbreaker|Domador de Feras de Atarka
Atarka Efreet|Efrite de Atarka
Atarka Monument|Monumento a Atarka
Atarka Pummeler|Arrombador de Atarka
Atarka's Command|Comando de Atarka
Atarka, World Render|Atarka, Dissolvedora de Mundos
Atemsis, All-Seeing|Atemsis, que Tudo Vê
Athreos, God of Passage|Atreos, Deus da Passagem
Athreos, Shroud-Veiled|Atreos, Velado pelo Sudário
Atla Palani, Nest Tender|Atla Palani, Cuidadora do Ninho
Atmosphere Surgeon|Cirurgião da Atmosfera
Atogatog|Atogatogue
Atog|Atogue
Atraxa's Fall|Queda de Atraxa
Atraxa's Skitterfang|Lacraia de Atraxa
Atraxa, Grand Unifier|Atraxa, Grande Unificadora
Atraxa, Praetors' Voice|Atraxa, Voz dos Pretores
Atris, Oracle of Half-Truths|Átris, Oráculo de Meias-verdades
Atrocious Experiment|Experimento Atroz
Atsushi, the Blazing Sky|Atsushi, o Céu Flamejante
Attendant of Vraska|Ajudante de Vraska
Attended Healer|Curandeira Acompanhada
Attended Knight|Cavaleiro Acompanhado
Attended Socialite|Socialite Acompanhada
Attentive Skywarden|Guardiã Celeste Vigilante
Attrition|Atrito
Attune with Aether|Harmonizar-se com o Éter
Attunement|Harmonização
Atzal, Cave of Eternity|Atzal, Caverna da Eternidade
Atzocan Archer|Arqueiro de Atzocan
Atzocan Seer|Vidente de Atzocan
Audacious Infiltrator|Infiltrador Audacioso
Audacious Reshapers|Remoldadoras Audaciosas
Audacious Thief|Ladrão Audaz
Audacity|Audácia
Auger Spree|Farra da Broca
Augmenting Automaton|Autômato Aprimorador
Augur il-Vec|Auguratriz il-Vec
Augur of Autumn|Áugure do Outono
Augur of Bolas|Áugure de Nicol Bolas
Augur of Skulls|Áugure de Crânios
Augury Adept|Adepto do Agouro
Augury Owl|Coruja do Agouro
Augury Raven|Corvo do Augúrio
Auntie's Hovel|Cabana da Titia
Auntie's Snitch|Gatuno da Titia
Aura Barbs|Farpas de Aura
Aura Blast|Explosão de Aura
Aura Extraction|Extração de Aura
Aura Finesse|Elegância com Auras
Aura Flux|Fluxo de Aura
Aura Fracture|Ruptura de Aura
Aura Gnarlid|Gnarlid de Aura
Aura Graft|Enxerto de Aura
Aura Mutation|Mutação de Aura
Aura Shards|Fragmentos de Aura
Aura Thief|Ladrão de Aura
Aura of Dominion|Aura de Soberania
Aura of Silence|Aura de Silêncio
Auramancer's Guise|Fachada do auromante
Auramancer|Auramante
Auratog|Auratogue
Auratouched Mage|Mago de Aura Encantada
Aurelia's Fury|Fúria de Aurélia
Aurelia, Exemplar of Justice|Aurélia, Exemplo da Justiça
Aurelia, the Warleader|Aurelia, Líder de Guerra
Aurification|Aurificação
Auriok Bladewarden|Aurioque Encarregado da Lâmina
Auriok Champion|Campeã dos Aurioques
Auriok Edgewright|Forja-Pontas Aurioque
Auriok Glaivemaster|Aurioque Mestre do Gládio
Auriok Replica|Réplica de Aurioque
Auriok Salvagers|Salvádegos dos Aurioques
Auriok Siege Sled|Aríete de Trole dos Aurioques
Auriok Steelshaper|Aurioque Molda-Aço
Auriok Sunchaser|Caçador de Sol Aurioque
Auriok Survivors|Sobreviventes Aurioques
Auriok Transfixer|Aurioque Transfixadora
Auriok Windwalker|Aurioque Caminhante do Vento
Aurochs Herd|Manada de Auroques
Aurochs|Auroques
Aurora Eidolon|Espectro da Aurora
Aurora Griffin|Grifo da Aurora
Aurora Phoenix|Fênix da Aurora
Aurora of Emrakul|Aurora de Emrakul
Auspicious Ancestor|Antepassado Auspicioso
Auspicious Starrix|Starrix Auspiciosa
Austere Command|Comando Austero
